hosp	unit	tech	teach	beds	unitsur	we			expe	full	pa
4	18	0	0	481	1	2.44297052154195	2	1	14
4	18	0	0	481	1	2.44297052154195	0.25	1	13
4	19	0	0	481	1	2.59730158730159	17	0	7
4	19	0	0	481	1	2.59730158730159	12	1	7
4	19	0	0	481	1	2.59730158730159	16	0	13
4	19	0	0	481	1	2.59730158730159	35	0	0
4	19	0	0	481	1	2.59730158730159	2	1	8
4	19	0	0	481	1	2.59730158730159	4	0	12
4	19	0	0	481	1	2.59730158730159	19	0	11
4	19	0	0	481	1	2.59730158730159	0	1	8
4	19	0	0	481	1	2.59730158730159	0.25	1	14
4	19	0	0	481	1	2.59730158730159	34	1	5
4	20	0	0	481	0	2.19828042328042	10	1	12
4	20	0	0	481	0	2.19828042328042	11	0	1
4	20	0	0	481	0	2.19828042328042	1	1	21
4	20	0	0	481	0	2.19828042328042	12	0	23
4	20	0	0	481	0	2.19828042328042	1	1	3
4	20	0	0	481	0	2.19828042328042	14	0	33
4	20	0	0	481	0	2.19828042328042	17	0	6
4	20	0	0	481	0	2.19828042328042	30	0	5
4	20	0	0	481	0	2.19828042328042	14	1	2
5	21	1	0	698	0	2.33040674603175	1	1	10
5	21	1	0	698	0	2.33040674603175	4	1	6
5	21	1	0	698	0	2.33040674603175	5	1	11
5	21	1	0	698	0	2.33040674603175	16	0	11
5	21	1	0	698	0	2.33040674603175	3	1	8
5	21	1	0	698	0	2.33040674603175	20	0	15
5	21	1	0	698	0	2.33040674603175	30	0	19
5	21	1	0	698	0	2.33040674603175	12	0	18
5	22	1	0	698	1	2.49404761904762	2	1	8
5	22	1	0	698	1	2.49404761904762	27	0	11
5	22	1	0	698	1	2.49404761904762	16	1	0
5	22	1	0	698	1	2.49404761904762	8	1	9
5	22	1	0	698	1	2.49404761904762	14	1	6
5	22	1	0	698	1	2.49404761904762	15	1	16
5	22	1	0	698	1	2.49404761904762	7	0	0
5	22	1	0	698	1	2.49404761904762	36	0	8
5	22	1	0	698	1	2.49404761904762	4	1	29
5	22	1	0	698	1	2.49404761904762	24	1	10
5	23	1	0	698	0	2.74695767195767	10	0	9
5	23	1	0	698	0	2.74695767195767	19	1	9
5	23	1	0	698	0	2.74695767195767	26	1	13
5	23	1	0	698	0	2.74695767195767	14	1	6
5	23	1	0	698	0	2.74695767195767	14	0	12
5	23	1	0	698	0	2.74695767195767	14	1	6
5	23	1	0	698	0	2.74695767195767	26	0	0
5	23	1	0	698	0	2.74695767195767	17	0	5
5	23	1	0	698	0	2.74695767195767	20	1	9
5	23	1	0	698	0	2.74695767195767	13	0	3
5	23	1	0	698	0	2.74695767195767	17	0	0
5	23	1	0	698	0	2.74695767195767	3	1	14
5	24	1	0	698	0	2.41395502645503	11	1	5
5	24	1	0	698	0	2.41395502645503	21	0	19
5	24	1	0	698	0	2.41395502645503	10	1	12
5	24	1	0	698	0	2.41395502645503	31	1	14
5	24	1	0	698	0	2.41395502645503	31	0	4
5	24	1	0	698	0	2.41395502645503	5	1	8
5	25	1	0	698	1	2.21299603174603	32	1	15
5	25	1	0	698	1	2.21299603174603	18	0	10
5	25	1	0	698	1	2.21299603174603	25	1	13
5	25	1	0	698	1	2.21299603174603	30	0	28
5	25	1	0	698	1	2.21299603174603	34	0	13
5	25	1	0	698	1	2.21299603174603	32	1	3
5	25	1	0	698	1	2.21299603174603	20	0	2
5	25	1	0	698	1	2.21299603174603	25	0	14
5	26	1	0	698	0	2.41082251082251	35	0	15
5	26	1	0	698	0	2.41082251082251	15	1	2
5	26	1	0	698	0	2.41082251082251	5	1	5
